subclass_1,subclass_2,mean_win_prob,worst_matchup,worst_p,best_matchup,best_p
weaponmaster,weaponmaster,0.956,guardian+guardian,0.000,corsair+spellblade,1.000
chef,guardian,0.928,chef+chef,0.001,blacksmith+trickster,1.000
guardian,guardian,0.918,chef+guardian,0.000,ballmaster+cardmaster,1.000
berserker,berserker,0.883,chef+guardian,0.000,blacksmith+blacksmith,1.000
warlord,weaponmaster,0.871,chef+guardian,0.032,alchemist+blacksmith,1.000
berserker,weaponmaster,0.867,chef+guardian,0.000,blacksmith+cardmaster,1.000
berserker,guardian,0.865,chef+guardian,0.000,blacksmith+cardmaster,1.000
warlord,warlord,0.862,chef+guardian,0.005,blacksmith+cardmaster,1.000
guardian,warlord,0.861,chef+guardian,0.001,alchemist+cardmaster,1.000
chef,weaponmaster,0.855,chef+chef,0.000,blacksmith+chef,1.000
guardian,weaponmaster,0.851,chef+guardian,0.000,blacksmith+cardmaster,1.000
guardian,occultist,0.847,guardian+warlord,0.001,alchemist+blacksmith,1.000
berserker,warlord,0.822,chef+guardian,0.002,lifewarden+lifewarden,1.000
berserker,chef,0.808,chef+chef,0.000,blacksmith+chef,1.000
chef,warlord,0.803,chef+chef,0.000,blacksmith+chef,1.000
guardian,gunslinger,0.796,guardian+guardian,0.000,blacksmith+ranger,1.000
chef,chef,0.788,elementalist+guardian,0.269,musician+musician,1.000
duelist,guardian,0.788,chef+guardian,0.000,alchemist+blacksmith,1.000
elementalist,guardian,0.786,guardian+weaponmaster,0.000,blacksmith+blacksmith,1.000
guardian,lifewarden,0.776,chef+corsair,0.000,blacksmith+cardmaster,1.000
chef,occultist,0.775,berserker+weaponmaster,0.002,lifewarden+lifewarden,1.000
falconer,guardian,0.769,guardian+guardian,0.001,lifewarden+lifewarden,1.000
chef,corsair,0.750,chef+chef,0.000,blacksmith+chef,1.000
chef,elementalist,0.748,berserker+weaponmaster,0.007,lifewarden+lifewarden,1.000
cantor,guardian,0.744,chef+chef,0.001,blacksmith+spellblade,1.000
corsair,guardian,0.732,chef+guardian,0.000,blacksmith+weaponmaster,1.000
guardian,musician,0.727,chef+chef,0.000,blacksmith+blacksmith,1.000
berserker,occultist,0.726,guardian+guardian,0.000,lifewarden+lifewarden,1.000
duelist,weaponmaster,0.724,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.999
guardian,trickster,0.718,chef+guardian,0.000,blacksmith+cardmaster,1.000
berserker,elementalist,0.712,guardian+warlord,0.000,lifewarden+lifewarden,1.000
chef,trickster,0.708,chef+chef,0.000,blacksmith+trickster,1.000
berserker,falconer,0.701,berserker+weaponmaster,0.000,lifewarden+lifewarden,0.999
chef,gunslinger,0.698,chef+chef,0.000,blacksmith+chef,1.000
falconer,weaponmaster,0.697,berserker+weaponmaster,0.000,blacksmith+blacksmith,0.998
chef,shadowblade,0.696,chef+chef,0.000,blacksmith+chef,1.000
guardian,ranger,0.696,guardian+warlord,0.000,blacksmith+cardmaster,1.000
guardian,martyr,0.692,chef+chef,0.001,blacksmith+cardmaster,1.000
duelist,occultist,0.690,guardian+guardian,0.000,lifewarden+lifewarden,1.000
chef,duelist,0.680,chef+chef,0.000,lifewarden+lifewarden,1.000
chef,falconer,0.672,chef+chef,0.000,blacksmith+chef,1.000
berserker,duelist,0.670,guardian+guardian,0.000,blacksmith+musician,0.999
guardian,lightbringer,0.670,chef+chef,0.001,blacksmith+spellblade,1.000
occultist,weaponmaster,0.669,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
occultist,warlord,0.669,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
chef,ranger,0.668,chef+chef,0.000,ballmaster+lightbringer,1.000
elementalist,weaponmaster,0.665,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,0.998
guardian,shadowblade,0.665,guardian+lifewarden,0.000,alchemist+blacksmith,1.000
elementalist,elementalist,0.664,warlord+warlord,0.000,lifewarden+lifewarden,0.985
duelist,warlord,0.663,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
berserker,ranger,0.655,guardian+guardian,0.000,cantor+cardmaster,0.953
corsair,occultist,0.654,guardian+warlord,0.000,lifewarden+lifewarden,1.000
ranger,weaponmaster,0.651,guardian+warlord,0.000,blacksmith+corsair,0.998
chef,musician,0.650,chef+chef,0.001,ballmaster+musician,1.000
gunslinger,weaponmaster,0.650,guardian+warlord,0.000,blacksmith+musician,0.998
corsair,elementalist,0.650,guardian+guardian,0.000,lifewarden+lifewarden,1.000
elementalist,falconer,0.645,warlord+warlord,0.000,lifewarden+lifewarden,1.000
elementalist,warlord,0.645,warlord+weaponmaster,0.000,lifewarden+lifewarden,1.000
berserker,gunslinger,0.643,berserker+weaponmaster,0.000,blacksmith+cantor,0.998
corsair,falconer,0.643,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
alchemist,guardian,0.642,guardian+lifewarden,0.000,blacksmith+ranger,1.000
falconer,warlord,0.641,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
duelist,elementalist,0.640,guardian+warlord,0.000,lifewarden+lifewarden,1.000
shadowblade,weaponmaster,0.635,chef+guardian,0.000,blacksmith+trickster,0.993
occultist,shadowblade,0.633,guardian+guardian,0.000,lifewarden+lifewarden,1.000
gunslinger,occultist,0.632,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
corsair,weaponmaster,0.629,chef+guardian,0.000,blacksmith+corsair,0.995
falconer,falconer,0.623,guardian+guardian,0.000,lifewarden+lifewarden,1.000
berserker,shadowblade,0.622,guardian+guardian,0.000,ballmaster+blacksmith,0.998
corsair,warlord,0.622,weaponmaster+weaponmaster,0.000,blacksmith+corsair,1.000
occultist,ranger,0.622,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,0.986
musician,weaponmaster,0.620,chef+chef,0.000,blacksmith+corsair,1.000
ballmaster,berserker,0.619,guardian+warlord,0.000,lifewarden+lifewarden,1.000
berserker,corsair,0.617,guardian+warlord,0.000,blacksmith+blacksmith,0.998
duelist,falconer,0.617,guardian+guardian,0.000,lifewarden+lifewarden,1.000
lifewarden,warlord,0.615,weaponmaster+weaponmaster,0.000,blacksmith+spellblade,1.000
elementalist,shadowblade,0.614,guardian+warlord,-0.000,lifewarden+lifewarden,1.000
duelist,duelist,0.613,weaponmaster+weaponmaster,0.001,lifewarden+lifewarden,1.000
falconer,occultist,0.612,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
ballmaster,guardian,0.612,chef+guardian,0.000,blacksmith+blacksmith,1.000
lifewarden,weaponmaster,0.612,chef+guardian,0.000,blacksmith+spellblade,1.000
shadowblade,warlord,0.612,weaponmaster+weaponmaster,0.000,ballmaster+blacksmith,1.000
occultist,occultist,0.611,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
trickster,warlord,0.611,weaponmaster+weaponmaster,0.000,blacksmith+spellblade,1.000
elementalist,occultist,0.608,guardian+warlord,0.000,lifewarden+lifewarden,1.000
corsair,duelist,0.606,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
ballmaster,chef,0.605,chef+chef,-0.000,lifewarden+lifewarden,1.000
elementalist,ranger,0.604,warlord+warlord,0.000,cantor+spellblade,0.906
ballmaster,occultist,0.600,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
elementalist,gunslinger,0.592,warlord+warlord,0.000,lifewarden+lifewarden,1.000
ballmaster,weaponmaster,0.591,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
duelist,ranger,0.589,guardian+guardian,-0.000,blacksmith+trickster,0.982
ballmaster,elementalist,0.583,guardian+warlord,0.000,lifewarden+lifewarden,1.000
duelist,shadowblade,0.583,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
ranger,warlord,0.583,weaponmaster+weaponmaster,0.001,blacksmith+blacksmith,0.993
corsair,ranger,0.578,guardian+warlord,0.000,blacksmith+trickster,0.982
martyr,occultist,0.575,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,1.000
corsair,gunslinger,0.575,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
lightbringer,weaponmaster,0.575,chef+guardian,0.000,blacksmith+blacksmith,0.999
alchemist,weaponmaster,0.574,berserker+weaponmaster,0.000,blacksmith+musician,0.998
occultist,trickster,0.571,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
cantor,occultist,0.569,weaponmaster+weaponmaster,0.000,blacksmith+musician,1.000
ballmaster,corsair,0.568,guardian+warlord,0.000,blacksmith+trickster,0.936
musician,occultist,0.568,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
lifewarden,occultist,0.565,weaponmaster+weaponmaster,0.000,blacksmith+musician,1.000
duelist,gunslinger,0.563,guardian+guardian,0.000,blacksmith+trickster,0.983
falconer,shadowblade,0.562,guardian+guardian,0.000,lightbringer+spellblade,0.953
duelist,trickster,0.561,berserker+weaponmaster,0.000,lifewarden+lifewarden,0.970
falconer,gunslinger,0.557,guardian+guardian,0.000,lifewarden+lifewarden,0.999
lightbringer,occultist,0.554,weaponmaster+weaponmaster,0.000,blacksmith+musician,1.000
berserker,trickster,0.554,chef+guardian,0.000,blacksmith+musician,0.985
ballmaster,duelist,0.554,guardian+guardian,0.000,blacksmith+blacksmith,0.993
falconer,ranger,0.553,guardian+guardian,0.000,lifewarden+lifewarden,1.000
martyr,weaponmaster,0.552,chef+guardian,0.000,blacksmith+blacksmith,0.998
cantor,weaponmaster,0.552,weaponmaster+weaponmaster,0.000,blacksmith+blacksmith,0.998
ballmaster,warlord,0.551,berserker+weaponmaster,0.000,blacksmith+trickster,0.983
trickster,weaponmaster,0.551,chef+guardian,0.000,blacksmith+corsair,1.000
gunslinger,warlord,0.551,weaponmaster+weaponmaster,0.001,lifewarden+lifewarden,1.000
duelist,musician,0.547,chef+chef,0.000,blacksmith+trickster,1.000
corsair,corsair,0.545,warlord+warlord,0.000,blacksmith+musician,0.984
corsair,shadowblade,0.543,weaponmaster+weaponmaster,0.000,blacksmith+trickster,0.913
cantor,chef,0.542,chef+chef,0.006,lifewarden+lifewarden,0.999
ballmaster,falconer,0.541,guardian+warlord,0.000,lifewarden+lifewarden,0.995
alchemist,berserker,0.538,weaponmaster+weaponmaster,0.000,blacksmith+musician,0.916
corsair,lifewarden,0.535,guardian+guardian,0.002,berserker+blacksmith,0.999
lightbringer,warlord,0.535,chef+chef,0.000,blacksmith+blacksmith,1.000
elementalist,musician,0.533,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
berserker,musician,0.530,chef+chef,0.000,lifewarden+lifewarden,0.986
cantor,corsair,0.527,weaponmaster+weaponmaster,0.000,blacksmith+spellblade,1.000
duelist,lifewarden,0.526,weaponmaster+weaponmaster,0.000,blacksmith+musician,1.000
elementalist,trickster,0.526,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
musician,musician,0.524,chef+chef,-0.000,blacksmith+musician,0.994
falconer,trickster,0.524,berserker+weaponmaster,0.000,lifewarden+lifewarden,1.000
gunslinger,shadowblade,0.523,guardian+guardian,0.000,blacksmith+corsair,0.982
ranger,shadowblade,0.522,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
gunslinger,lifewarden,0.522,weaponmaster+weaponmaster,0.001,blacksmith+spellblade,0.999
alchemist,occultist,0.521,weaponmaster+weaponmaster,0.000,lifewarden+lifewarden,1.000
cantor,warlord,0.521,berserker+weaponmaster,0.000,ballmaster+blacksmith,0.982
chef,martyr,0.519,chef+chef,0.002,blacksmith+musician,0.993
cantor,gunslinger,0.519,weaponmaster+weaponmaster,0.000,blacksmith+duelist,1.000
gunslinger,musician,0.519,chef+chef,0.000,blacksmith+trickster,0.999
corsair,musician,0.519,chef+chef,0.000,blacksmith+blacksmith,1.000
corsair,martyr,0.519,weaponmaster+weaponmaster,0.000,blacksmith+guardian,0.998
