subclass_1,subclass_2,mean_win_prob_free
guardian,guardian,0.913
guardian,warlord,0.907
weaponmaster,weaponmaster,0.900
chef,guardian,0.882
guardian,weaponmaster,0.875
berserker,weaponmaster,0.839
warlord,warlord,0.828
berserker,warlord,0.826
berserker,guardian,0.821
guardian,occultist,0.808
chef,weaponmaster,0.801
chef,chef,0.783
warlord,weaponmaster,0.780
chef,occultist,0.771
berserker,berserker,0.770
guardian,lifewarden,0.769
berserker,chef,0.766
elementalist,guardian,0.763
duelist,guardian,0.763
corsair,guardian,0.756
guardian,gunslinger,0.735
guardian,lightbringer,0.729
chef,warlord,0.729
berserker,occultist,0.725
chef,elementalist,0.725
guardian,musician,0.723
guardian,ranger,0.719
guardian,trickster,0.718
chef,corsair,0.716
duelist,weaponmaster,0.703
falconer,guardian,0.702
falconer,weaponmaster,0.699
cantor,guardian,0.699
berserker,elementalist,0.686
duelist,occultist,0.685
berserker,falconer,0.685
occultist,weaponmaster,0.682
corsair,weaponmaster,0.678
chef,shadowblade,0.677
guardian,martyr,0.677
chef,gunslinger,0.674
berserker,duelist,0.672
duelist,warlord,0.672
berserker,corsair,0.671
elementalist,weaponmaster,0.668
gunslinger,weaponmaster,0.668
guardian,shadowblade,0.667
ranger,weaponmaster,0.664
chef,duelist,0.661
occultist,warlord,0.659
ballmaster,guardian,0.658
elementalist,elementalist,0.649
corsair,occultist,0.647
duelist,elementalist,0.644
shadowblade,weaponmaster,0.638
corsair,warlord,0.636
chef,falconer,0.635
elementalist,falconer,0.632
elementalist,warlord,0.631
berserker,gunslinger,0.631
corsair,falconer,0.631
chef,musician,0.630
falconer,warlord,0.628
berserker,shadowblade,0.627
chef,ranger,0.625
corsair,elementalist,0.623
falconer,falconer,0.623
falconer,occultist,0.621
berserker,ranger,0.621
occultist,shadowblade,0.618
gunslinger,occultist,0.617
ballmaster,weaponmaster,0.616
chef,trickster,0.615
musician,weaponmaster,0.613
duelist,duelist,0.612
ballmaster,berserker,0.610
lifewarden,weaponmaster,0.610
elementalist,shadowblade,0.604
duelist,falconer,0.603
occultist,ranger,0.601
elementalist,occultist,0.597
martyr,weaponmaster,0.596
elementalist,ranger,0.596
lightbringer,weaponmaster,0.595
trickster,weaponmaster,0.595
shadowblade,warlord,0.594
cantor,weaponmaster,0.590
duelist,ranger,0.589
elementalist,gunslinger,0.588
corsair,duelist,0.587
ballmaster,occultist,0.587
corsair,ranger,0.585
berserker,trickster,0.584
trickster,warlord,0.581
ranger,warlord,0.578
occultist,occultist,0.578
lifewarden,warlord,0.577
duelist,shadowblade,0.574
ballmaster,chef,0.574
alchemist,guardian,0.570
corsair,gunslinger,0.570
falconer,shadowblade,0.569
alchemist,weaponmaster,0.567
ballmaster,elementalist,0.560
martyr,occultist,0.558
gunslinger,warlord,0.556
alchemist,berserker,0.554
lifewarden,occultist,0.553
duelist,gunslinger,0.551
occultist,trickster,0.550
berserker,musician,0.550
berserker,cantor,0.550
falconer,ranger,0.549
duelist,lifewarden,0.546
ballmaster,duelist,0.546
corsair,corsair,0.546
duelist,trickster,0.546
ballmaster,warlord,0.545
duelist,musician,0.545
corsair,lifewarden,0.544
berserker,martyr,0.543
musician,occultist,0.543
cantor,occultist,0.541
lightbringer,warlord,0.538
ballmaster,corsair,0.536
cantor,corsair,0.536
falconer,gunslinger,0.532
lightbringer,occultist,0.529
musician,warlord,0.528
gunslinger,shadowblade,0.528
ranger,shadowblade,0.526
berserker,lifewarden,0.526
berserker,lightbringer,0.525
corsair,martyr,0.522
falconer,trickster,0.519
chef,lifewarden,0.517
corsair,shadowblade,0.516
duelist,martyr,0.516
chef,martyr,0.515
cantor,duelist,0.515
ballmaster,falconer,0.514
musician,musician,0.514
gunslinger,ranger,0.513
alchemist,occultist,0.509
corsair,musician,0.508
elementalist,martyr,0.507
elementalist,musician,0.507
gunslinger,musician,0.507
corsair,lightbringer,0.505
chef,lightbringer,0.503
alchemist,corsair,0.502
ranger,ranger,0.501
duelist,lightbringer,0.500
elementalist,trickster,0.500
martyr,warlord,0.499
elementalist,lifewarden,0.499
ballmaster,shadowblade,0.498
cantor,elementalist,0.498
cardmaster,weaponmaster,0.496
elementalist,lightbringer,0.496
gunslinger,lifewarden,0.494
alchemist,duelist,0.494
cantor,trickster,0.492
cantor,chef,0.491
gunslinger,gunslinger,0.486
shadowblade,shadowblade,0.486
alchemist,chef,0.485
musician,trickster,0.485
lifewarden,trickster,0.485
cardmaster,chef,0.482
musician,shadowblade,0.479
cantor,warlord,0.479
musician,ranger,0.477
gunslinger,martyr,0.477
cantor,shadowblade,0.477
lifewarden,shadowblade,0.477
cantor,gunslinger,0.477
berserker,cardmaster,0.477
cardmaster,duelist,0.475
ranger,trickster,0.475
ballmaster,ranger,0.474
alchemist,shadowblade,0.471
martyr,trickster,0.470
lightbringer,shadowblade,0.470
martyr,shadowblade,0.466
spellblade,weaponmaster,0.463
ballmaster,ballmaster,0.462
gunslinger,lightbringer,0.458
cantor,ranger,0.458
alchemist,elementalist,0.456
gunslinger,trickster,0.456
martyr,ranger,0.454
lifewarden,ranger,0.454
falconer,martyr,0.454
berserker,spellblade,0.453
cardmaster,occultist,0.453
ballmaster,gunslinger,0.450
alchemist,warlord,0.449
falconer,lifewarden,0.448
falconer,musician,0.447
chef,spellblade,0.447
lightbringer,trickster,0.446
cardmaster,guardian,0.446
cardmaster,corsair,0.446
falconer,lightbringer,0.444
ballmaster,trickster,0.441
occultist,spellblade,0.440
alchemist,ranger,0.437
cantor,falconer,0.436
cardmaster,shadowblade,0.435
alchemist,trickster,0.435
lightbringer,ranger,0.433
shadowblade,trickster,0.431
alchemist,falconer,0.429
cardmaster,elementalist,0.429
blacksmith,chef,0.428
corsair,trickster,0.417
duelist,spellblade,0.415
guardian,spellblade,0.414
ballmaster,musician,0.410
berserker,blacksmith,0.406
elementalist,spellblade,0.404
blacksmith,weaponmaster,0.395
cardmaster,warlord,0.395
corsair,spellblade,0.393
lightbringer,musician,0.392
cardmaster,ranger,0.392
alchemist,gunslinger,0.388
lifewarden,musician,0.387
blacksmith,duelist,0.384
shadowblade,spellblade,0.383
cardmaster,falconer,0.380
cantor,musician,0.378
cardmaster,trickster,0.376
blacksmith,guardian,0.370
trickster,trickster,0.366
martyr,musician,0.361
ballmaster,lifewarden,0.360
ballmaster,cantor,0.357
lifewarden,lightbringer,0.356
alchemist,ballmaster,0.350
spellblade,warlord,0.349
blacksmith,occultist,0.346
blacksmith,elementalist,0.344
ballmaster,lightbringer,0.340
ranger,spellblade,0.339
lightbringer,lightbringer,0.334
falconer,spellblade,0.330
lifewarden,martyr,0.329
cantor,lifewarden,0.328
spellblade,trickster,0.328
blacksmith,falconer,0.321
alchemist,musician,0.319
cardmaster,gunslinger,0.318
cantor,cantor,0.317
cantor,lightbringer,0.315
lightbringer,martyr,0.312
martyr,martyr,0.312
blacksmith,warlord,0.306
lifewarden,lifewarden,0.303
ballmaster,cardmaster,0.303
ballmaster,martyr,0.298
gunslinger,spellblade,0.293
alchemist,lightbringer,0.289
blacksmith,gunslinger,0.286
blacksmith,corsair,0.284
ballmaster,spellblade,0.272
blacksmith,ranger,0.272
cardmaster,musician,0.272
alchemist,lifewarden,0.270
cantor,martyr,0.270
blacksmith,shadowblade,0.269
