subclass,base_class,budget,mean_win_prob_over_pairings,best_partner,best_pair_p
guardian,warrior,57,0.721,chef,0.928
chef,artisan,57,0.652,guardian,0.928
weaponmaster,warrior,57,0.649,weaponmaster,0.956
berserker,warrior,57,0.613,berserker,0.883
occultist,mage,57,0.603,guardian,0.847
warlord,warrior,57,0.599,weaponmaster,0.871
duelist,rogue,57,0.577,guardian,0.788
elementalist,mage,57,0.573,guardian,0.786
corsair,rogue,57,0.553,chef,0.750
falconer,archer,57,0.536,guardian,0.769
shadowblade,rogue,57,0.523,chef,0.696
gunslinger,archer,57,0.523,guardian,0.796
ranger,archer,57,0.512,guardian,0.696
trickster,rogue,57,0.484,guardian,0.718
musician,artisan,57,0.460,guardian,0.727
ballmaster,archer,57,0.456,berserker,0.619
lifewarden,healer,57,0.430,guardian,0.776
cantor,healer,57,0.421,guardian,0.744
martyr,healer,57,0.409,guardian,0.692
lightbringer,healer,57,0.407,guardian,0.670
alchemist,artisan,57,0.392,guardian,0.642
cardmaster,mage,57,0.335,weaponmaster,0.484
spellblade,mage,57,0.304,occultist,0.457
blacksmith,artisan,57,0.250,guardian,0.408
