subclass,base_class,mean_win_prob_free
guardian,warrior,0.712
weaponmaster,warrior,0.655
chef,artisan,0.631
berserker,warrior,0.630
warlord,warrior,0.595
occultist,mage,0.592
duelist,rogue,0.575
elementalist,mage,0.567
corsair,rogue,0.556
falconer,archer,0.535
shadowblade,rogue,0.520
ranger,archer,0.514
gunslinger,archer,0.511
trickster,rogue,0.481
musician,artisan,0.459
ballmaster,archer,0.458
lifewarden,healer,0.438
lightbringer,healer,0.423
cantor,healer,0.421
martyr,healer,0.417
alchemist,artisan,0.387
cardmaster,mage,0.344
spellblade,mage,0.305
blacksmith,artisan,0.273
